,prompt,A,B,C,D,answer,queries
94172,A,bacterial cell must perform all life functions,lung cell,flower cell,tail cell,A,"what is the best possible answer for this question: A
 (A) lung cell
 (B) lung cell
 (C) flower cell
 (D) tail cell
"
95201,Palm trees use the sun to,swim,eat,sleep,run,B,"what is the best possible answer for this question: Palm trees use the sun to
 (A) eat
 (B) eat
 (C) sleep
 (D) run
"
94401,Deserts are generally,sweltering,cold,tepid,frigid,A,"what is the best possible answer for this question: Deserts are generally
 (A) cold
 (B) cold
 (C) tepid
 (D) frigid
"
98337,Which can view an ocean?,bogs,logs,pogs,dogs,D,"what is the best possible answer for this question: Which can view an ocean?
 (A) logs
 (B) logs
 (C) pogs
 (D) dogs
"
97971,The mantle is,anger,magic,passion,solid bulk,D,"what is the best possible answer for this question: The mantle is
 (A) magic
 (B) magic
 (C) passion
 (D) solid bulk
"
97850,A radio is used for what?,people contact,heat,mail,food,A,"what is the best possible answer for this question: A radio is used for what?
 (A) heat
 (B) heat
 (C) mail
 (D) food
"
94381,The moon is absent of,craters,gravity,H2O,CO2,C,"what is the best possible answer for this question: The moon is absent of
 (A) gravity
 (B) gravity
 (C) H2O
 (D) CO2
"
98474,Sunrises in January are,late,green,old,early,A,"what is the best possible answer for this question: Sunrises in January are
 (A) green
 (B) green
 (C) old
 (D) early
"
96929,A bee may be vital for,time travel,metal,cars,basil,D,"what is the best possible answer for this question: A bee may be vital for
 (A) metal
 (B) metal
 (C) cars
 (D) basil
"
98115,Eagles eat what?,grass,whales,hoppers,apples,C,"what is the best possible answer for this question: Eagles eat what?
 (A) whales
 (B) whales
 (C) hoppers
 (D) apples
"
94285,Sound can travel through the,planet,sun,body,sky,D,"what is the best possible answer for this question: Sound can travel through the
 (A) sun
 (B) sun
 (C) body
 (D) sky
"
95420,An animal that clucks has,four legs,fur,teeth,wings,D,"what is the best possible answer for this question: An animal that clucks has
 (A) fur
 (B) fur
 (C) teeth
 (D) wings
"
96615,Thermistors measure,depth,heat,height,pressure,B,"what is the best possible answer for this question: Thermistors measure
 (A) heat
 (B) heat
 (C) height
 (D) pressure
"
98057,A producer makes its own:,sustenance,air,shelter,body,A,"what is the best possible answer for this question: A producer makes its own:
 (A) air
 (B) air
 (C) shelter
 (D) body
"
97167,coral lives in the,wet depths,cupcakes,trees,sky,A,"what is the best possible answer for this question: coral lives in the
 (A) cupcakes
 (B) cupcakes
 (C) trees
 (D) sky
"
97407,Cows only eat what?,flora,animals,water,bugs,A,"what is the best possible answer for this question: Cows only eat what?
 (A) animals
 (B) animals
 (C) water
 (D) bugs
"
95686,Photosynthesis features,single celled organisms,humans,cats,fish,A,"what is the best possible answer for this question: Photosynthesis features
 (A) humans
 (B) humans
 (C) cats
 (D) fish
"
97930,Ice melting erodes,clouds,plants,granite,rivers,C,"what is the best possible answer for this question: Ice melting erodes
 (A) plants
 (B) plants
 (C) granite
 (D) rivers
"
97345,birds lay,rocks,clouds,trees,calcium life pods,D,"what is the best possible answer for this question: birds lay
 (A) clouds
 (B) clouds
 (C) trees
 (D) calcium life pods
"
98403,reptiles lay what?,live young,rocks,dirt,oval whites,D,"what is the best possible answer for this question: reptiles lay what?
 (A) rocks
 (B) rocks
 (C) dirt
 (D) oval whites
"
4366,One example of matter is,sound,light,heat,water,D,"what is the best possible answer for this question: One example of matter is
 (A) light
 (B) light
 (C) heat
 (D) water
"
97881,A scar will develop from a,tap,slash,run,walk,B,"what is the best possible answer for this question: A scar will develop from a
 (A) slash
 (B) slash
 (C) run
 (D) walk
"
97874,Which contain seeds?,mandarins,corn,carrots,potatoes,A,"what is the best possible answer for this question: Which contain seeds?
 (A) corn
 (B) corn
 (C) carrots
 (D) potatoes
"
94353,A weed will only live in the,dirt,air,sink,house,A,"what is the best possible answer for this question: A weed will only live in the
 (A) air
 (B) air
 (C) sink
 (D) house
"
96610,A maglight puts out,a beam,fires,the sun,candles,A,"what is the best possible answer for this question: A maglight puts out
 (A) fires
 (B) fires
 (C) the sun
 (D) candles
"
96799,Iron can be found on,rocky areas,ants,wizards,unicorns,A,"what is the best possible answer for this question: Iron can be found on
 (A) ants
 (B) ants
 (C) wizards
 (D) unicorns
"
94993,sunlight produces,darkness,wind,solar radiation,snow,C,"what is the best possible answer for this question: sunlight produces
 (A) wind
 (B) wind
 (C) solar radiation
 (D) snow
"
95079,What color is a stick bug?,brown,gray,green,black,A,"what is the best possible answer for this question: What color is a stick bug?
 (A) gray
 (B) gray
 (C) green
 (D) black
"
95664,With a ruler I can measure,feelings,love,air,a phone,D,"what is the best possible answer for this question: With a ruler I can measure
 (A) love
 (B) love
 (C) air
 (D) a phone
"
96430,Catfish are what,cannibals,fairies,grapes,unicorns,A,"what is the best possible answer for this question: Catfish are what
 (A) fairies
 (B) fairies
 (C) grapes
 (D) unicorns
"
97435,What loosens soil?,iron,boring,metals,sunlight,B,"what is the best possible answer for this question: What loosens soil?
 (A) boring
 (B) boring
 (C) metals
 (D) sunlight
"
94850,High carbon steel contains,nickel,ammonia,Na,Fe,D,"what is the best possible answer for this question: High carbon steel contains
 (A) ammonia
 (B) ammonia
 (C) Na
 (D) Fe
"
98323,A cow would prefer,birds,metals,sushi,cucumbers,D,"what is the best possible answer for this question: A cow would prefer
 (A) metals
 (B) metals
 (C) sushi
 (D) cucumbers
"
98329,Swords are drawn to,the devil,magnets,people,trees,B,"what is the best possible answer for this question: Swords are drawn to
 (A) magnets
 (B) magnets
 (C) people
 (D) trees
"
94794,My dad gave me,my head windows,a building,air,the sun,A,"what is the best possible answer for this question: My dad gave me
 (A) a building
 (B) a building
 (C) air
 (D) the sun
"
95494,Reproduction produces,bacteria,light,carrots,farrow,D,"what is the best possible answer for this question: Reproduction produces
 (A) light
 (B) light
 (C) carrots
 (D) farrow
"
96761,Rain can damage,happiness,the carpet,love,Space,B,"what is the best possible answer for this question: Rain can damage
 (A) the carpet
 (B) the carpet
 (C) love
 (D) Space
"
96784,What can be renewed?,plastics,leather,coal,diesel,B,"what is the best possible answer for this question: What can be renewed?
 (A) leather
 (B) leather
 (C) coal
 (D) diesel
"
96932,A wolf feels the snow with,morality,skis,ethics,touch,D,"what is the best possible answer for this question: A wolf feels the snow with
 (A) skis
 (B) skis
 (C) ethics
 (D) touch
"
97456,All plants require this,humans,insects,H2O,trees,C,"what is the best possible answer for this question: All plants require this
 (A) insects
 (B) insects
 (C) H2O
 (D) trees
"
97125,What gives off light?,scorching logs,dirt,water,fire drills,A,"what is the best possible answer for this question: What gives off light?
 (A) dirt
 (B) dirt
 (C) water
 (D) fire drills
"
94544,What is a unit for measuring heat energy?,kg,m,s,F,D,"what is the best possible answer for this question: What is a unit for measuring heat energy?
 (A) m
 (B) m
 (C) s
 (D) F
"
96148,A lizard has young,in shells,frozen,alive,in corpses,A,"what is the best possible answer for this question: A lizard has young
 (A) frozen
 (B) frozen
 (C) alive
 (D) in corpses
"
94789,A landslide has,Multiple causes,Unicorns,Airplanes,Fires,A,"what is the best possible answer for this question: A landslide has
 (A) Unicorns
 (B) Unicorns
 (C) Airplanes
 (D) Fires
"
98123,What tastes flavors?,flamingos,metals,stars,bicycles,A,"what is the best possible answer for this question: What tastes flavors?
 (A) metals
 (B) metals
 (C) stars
 (D) bicycles
"
97634,Alligators have a,carrot,glasses,scarf,wide nose,D,"what is the best possible answer for this question: Alligators have a
 (A) glasses
 (B) glasses
 (C) scarf
 (D) wide nose
"
94820,Where might you find eggs?,forest,space,lava,ocean,A,"what is the best possible answer for this question: Where might you find eggs?
 (A) space
 (B) space
 (C) lava
 (D) ocean
"
95606,An arid region has very little,rocks,heat,food,sand,C,"what is the best possible answer for this question: An arid region has very little
 (A) heat
 (B) heat
 (C) food
 (D) sand
"
97510,You can hear,a electric viola,a perfume,a thought,a prism,A,"what is the best possible answer for this question: You can hear
 (A) a perfume
 (B) a perfume
 (C) a thought
 (D) a prism
"
94522,Toasting bread makes it,smaller,longer,wider,harder,D,"what is the best possible answer for this question: Toasting bread makes it
 (A) longer
 (B) longer
 (C) wider
 (D) harder
"
2087,"Sodium, Na, is in the same group as",Ne.,Mg.,Ca.,K.,D,"what is the best possible answer for this question: Sodium, Na, is in the same group as
 (A) Mg.
 (B) Mg.
 (C) Ca.
 (D) K.
"
4206,Which animal eats only plants?,Cat,Dog,Lion,Rabbit,D,"what is the best possible answer for this question: Which animal eats only plants?
 (A) Dog
 (B) Dog
 (C) Lion
 (D) Rabbit
"
97051,Wide tree rings mean,happiness,thriving,money,magic,B,"what is the best possible answer for this question: Wide tree rings mean
 (A) thriving
 (B) thriving
 (C) money
 (D) magic
"
97601,Skittles left in snow become,hot,mushy,hard,soft,C,"what is the best possible answer for this question: Skittles left in snow become
 (A) mushy
 (B) mushy
 (C) hard
 (D) soft
"
95185,Which animal eats prey?,beetle,horse,rabbit,buffalo,A,"what is the best possible answer for this question: Which animal eats prey?
 (A) horse
 (B) horse
 (C) rabbit
 (D) buffalo
"
98293,Some humans live in what?,lakes,trees,oceans,homes,D,"what is the best possible answer for this question: Some humans live in what?
 (A) trees
 (B) trees
 (C) oceans
 (D) homes
"
97277,humans sometimes eat,plant reproduction vessels,unicorns,lava,clouds,A,"what is the best possible answer for this question: humans sometimes eat
 (A) unicorns
 (B) unicorns
 (C) lava
 (D) clouds
"
94118,Which is a solid?,Kool-aid,urine,helium,ice sculpture,D,"what is the best possible answer for this question: Which is a solid?
 (A) urine
 (B) urine
 (C) helium
 (D) ice sculpture
"
97155,A tuna would prefer to consume,An Apple,beef,Nemo,dogs,C,"what is the best possible answer for this question: A tuna would prefer to consume
 (A) beef
 (B) beef
 (C) Nemo
 (D) dogs
"
96645,Which eats other creatures?,rainbows,cows,lynx,rabbits,C,"what is the best possible answer for this question: Which eats other creatures?
 (A) cows
 (B) cows
 (C) lynx
 (D) rabbits
"
1587,Sound will not travel in a,solid,liquid,gas,vacuum,D,"what is the best possible answer for this question: Sound will not travel in a
 (A) liquid
 (B) liquid
 (C) gas
 (D) vacuum
"
97113,A plant would prefer,orange juice,Dasani,apple juice,fire,B,"what is the best possible answer for this question: A plant would prefer
 (A) Dasani
 (B) Dasani
 (C) apple juice
 (D) fire
"
97239,Dissolving sucrose makes liquids,hot,dry,sweet,cold,C,"what is the best possible answer for this question: Dissolving sucrose makes liquids
 (A) dry
 (B) dry
 (C) sweet
 (D) cold
"
96531,a typical rabbit diet includes,crickets,mice,fish,weeds,D,"what is the best possible answer for this question: a typical rabbit diet includes
 (A) mice
 (B) mice
 (C) fish
 (D) weeds
"
92565,Which area is coldest?,rainforest,tundra,grassland,reef,B,"what is the best possible answer for this question: Which area is coldest?
 (A) tundra
 (B) tundra
 (C) grassland
 (D) reef
"
95307,A moth can adjust its,age,ancestry,shape,genus,C,"what is the best possible answer for this question: A moth can adjust its
 (A) ancestry
 (B) ancestry
 (C) shape
 (D) genus
"
95381,Birds could use their beaks to,swim,run,tidy up,shop,C,"what is the best possible answer for this question: Birds could use their beaks to
 (A) run
 (B) run
 (C) tidy up
 (D) shop
"
96337,Dinosaur carcasses are a form of,car parts,fuel,fun,food,B,"what is the best possible answer for this question: Dinosaur carcasses are a form of
 (A) fuel
 (B) fuel
 (C) fun
 (D) food
"
94279,Scrubbing a toilet is,predestined,innate,genetic,learned,D,"what is the best possible answer for this question: Scrubbing a toilet is
 (A) innate
 (B) innate
 (C) genetic
 (D) learned
"
97080,Soil could be Earth's what?,dermis,Buddy,Magic,Tears,A,"what is the best possible answer for this question: Soil could be Earth's what?
 (A) Buddy
 (B) Buddy
 (C) Magic
 (D) Tears
"
95410,dry wood easily,grows,freezes,shrinks,incinerates,D,"what is the best possible answer for this question: dry wood easily
 (A) freezes
 (B) freezes
 (C) shrinks
 (D) incinerates
"
96912,Eagles survive by dining on,salmon,bears,humans,moose,A,"what is the best possible answer for this question: Eagles survive by dining on
 (A) bears
 (B) bears
 (C) humans
 (D) moose
"
97782,Sleet is made of what?,wind,icing,hard h2o,frosting,C,"what is the best possible answer for this question: Sleet is made of what?
 (A) icing
 (B) icing
 (C) hard h2o
 (D) frosting
"
97241,Scavengers eat dead what?,fauna,stars,meteors,dreams,A,"what is the best possible answer for this question: Scavengers eat dead what?
 (A) stars
 (B) stars
 (C) meteors
 (D) dreams
"
94504,Books can be made out of,card stock,cement,glass,copper.,A,"what is the best possible answer for this question: Books can be made out of
 (A) cement
 (B) cement
 (C) glass
 (D) copper.
"
95567,Cellular respiration releases,blood,waste,snot,feces,B,"what is the best possible answer for this question: Cellular respiration releases
 (A) waste
 (B) waste
 (C) snot
 (D) feces
"
94030,On a rainy day the clouds are,low,small,white,gray,D,"what is the best possible answer for this question: On a rainy day the clouds are
 (A) small
 (B) small
 (C) white
 (D) gray
"
94455,Which would an alligator eat,spider,crab,squid,tilapia,D,"what is the best possible answer for this question: Which would an alligator eat
 (A) crab
 (B) crab
 (C) squid
 (D) tilapia
"
1364,Which is NOT a fossil fuel?,Coal,Oil,Wood,Natural gas,C,"what is the best possible answer for this question: Which is NOT a fossil fuel?
 (A) Oil
 (B) Oil
 (C) Wood
 (D) Natural gas
"
96397,The moon has,Narwhales,Fairies,dead volcanoes,Unicorns,C,"what is the best possible answer for this question: The moon has
 (A) Fairies
 (B) Fairies
 (C) dead volcanoes
 (D) Unicorns
"
93917,Rubber can protect from,cold,burns,electricity,fire,C,"what is the best possible answer for this question: Rubber can protect from
 (A) burns
 (B) burns
 (C) electricity
 (D) fire
"
98318,Charring is a result of,open flames,the sun,the moon,ice,A,"what is the best possible answer for this question: Charring is a result of
 (A) the sun
 (B) the sun
 (C) the moon
 (D) ice
"
98055,Robins will often devour,rocks,wood,glue,grasshoppers,D,"what is the best possible answer for this question: Robins will often devour
 (A) wood
 (B) wood
 (C) glue
 (D) grasshoppers
"
98125,A yellow dwarf is an origin of,cold,sound,life,heat,D,"what is the best possible answer for this question: A yellow dwarf is an origin of
 (A) sound
 (B) sound
 (C) life
 (D) heat
"
98258,Ethanol sometimes might be,concocted,love,magic,affection,A,"what is the best possible answer for this question: Ethanol sometimes might be
 (A) love
 (B) love
 (C) magic
 (D) affection
"
98476,What lives in their habitat?,dahlias,rocks,lakes,shoes,A,"what is the best possible answer for this question: What lives in their habitat?
 (A) rocks
 (B) rocks
 (C) lakes
 (D) shoes
"
94225,There is more rain when the sky is,gray,red,blue,white,A,"what is the best possible answer for this question: There is more rain when the sky is
 (A) red
 (B) red
 (C) blue
 (D) white
"
97985,A wolf would eat,an ibex,a mountain,a tree,a cloud,A,"what is the best possible answer for this question: A wolf would eat
 (A) a mountain
 (B) a mountain
 (C) a tree
 (D) a cloud
"
96879,The lungs give O2 to the,bloodstream,neighbor,ozone,poor,A,"what is the best possible answer for this question: The lungs give O2 to the
 (A) neighbor
 (B) neighbor
 (C) ozone
 (D) poor
"
98335,Quartz are in,affection,hollow spaces,love,spices,B,"what is the best possible answer for this question: Quartz are in
 (A) hollow spaces
 (B) hollow spaces
 (C) love
 (D) spices
"
95169,What does crop rotation renew?,plants,loans,loam,water,C,"what is the best possible answer for this question: What does crop rotation renew?
 (A) loans
 (B) loans
 (C) loam
 (D) water
"
96235,Ice wedging might create,buildings,Beds,cars,mountainsides,D,"what is the best possible answer for this question: Ice wedging might create
 (A) Beds
 (B) Beds
 (C) cars
 (D) mountainsides
"
95695,A skunk produces a bad what?,food,reek,computer,title,B,"what is the best possible answer for this question: A skunk produces a bad what?
 (A) reek
 (B) reek
 (C) computer
 (D) title
"
96361,Our planet has multiple,moons,suns,orbits,environments,D,"what is the best possible answer for this question: Our planet has multiple
 (A) suns
 (B) suns
 (C) orbits
 (D) environments
"
1523,All rocks are composed of,fossils,cells,metals,minerals,D,"what is the best possible answer for this question: All rocks are composed of
 (A) cells
 (B) cells
 (C) metals
 (D) minerals
"
94073,What happens after something dies?,chance,rot,luck,magic,B,"what is the best possible answer for this question: What happens after something dies?
 (A) rot
 (B) rot
 (C) luck
 (D) magic
"
95335,Water vapor helps with?,The sidewalk,A pool,A cat,A habitat,D,"what is the best possible answer for this question: Water vapor helps with?
 (A) A pool
 (B) A pool
 (C) A cat
 (D) A habitat
"
96512,A crust is a portion of,a shoe,a world,a cat,a knife,B,"what is the best possible answer for this question: A crust is a portion of
 (A) a world
 (B) a world
 (C) a cat
 (D) a knife
"
97830,the moon is lacking what?,rocks,craters,gravity,h2o,D,"what is the best possible answer for this question: the moon is lacking what?
 (A) craters
 (B) craters
 (C) gravity
 (D) h2o
"
96951,Porpoises move fastest in,dungeons,lava,deserts,saltwater,D,"what is the best possible answer for this question: Porpoises move fastest in
 (A) lava
 (B) lava
 (C) deserts
 (D) saltwater
"
98058,A willow can make its own,rain,energy,sunshine,snow,B,"what is the best possible answer for this question: A willow can make its own
 (A) energy
 (B) energy
 (C) sunshine
 (D) snow
"
4205,Which of these is hottest?,The Earth,Mars,The Moon,The Sun,D,"what is the best possible answer for this question: Which of these is hottest?
 (A) Mars
 (B) Mars
 (C) The Moon
 (D) The Sun
"
98351,A riverbank is made of what?,animals,oceans,loam,bones,C,"what is the best possible answer for this question: A riverbank is made of what?
 (A) oceans
 (B) oceans
 (C) loam
 (D) bones
"
98453,Which has molecules?,a Popsicle,suicide,therapy,thoughts,A,"what is the best possible answer for this question: Which has molecules?
 (A) suicide
 (B) suicide
 (C) therapy
 (D) thoughts
"
98477,All living things do what?,swim,develop,fly,shrink,B,"what is the best possible answer for this question: All living things do what?
 (A) develop
 (B) develop
 (C) fly
 (D) shrink
"
97700,Soil has everything a tree needs to,develop,burn,die,move,A,"what is the best possible answer for this question: Soil has everything a tree needs to
 (A) burn
 (B) burn
 (C) die
 (D) move
"
94695,Sleet is made out of water that is,vapor,hot,liquid,cold,D,"what is the best possible answer for this question: Sleet is made out of water that is
 (A) hot
 (B) hot
 (C) liquid
 (D) cold
"
98240,dry wood easily what?,scorches,freezes,evaporates,melts,A,"what is the best possible answer for this question: dry wood easily what?
 (A) freezes
 (B) freezes
 (C) evaporates
 (D) melts
"
94510,Pelicans have an affinity for,Sushi,Cats,Trash,Mackerel,D,"what is the best possible answer for this question: Pelicans have an affinity for
 (A) Cats
 (B) Cats
 (C) Trash
 (D) Mackerel
"
98241,what is the speediest healer?,skin,tongue,toes,heart,B,"what is the best possible answer for this question: what is the speediest healer?
 (A) tongue
 (B) tongue
 (C) toes
 (D) heart
"
94284,Decomposers are important for,construction,fire,rocks,dolphins,D,"what is the best possible answer for this question: Decomposers are important for
 (A) fire
 (B) fire
 (C) rocks
 (D) dolphins
"
97256,Which animal will eat only plants?,snake,fish,slug,deer,D,"what is the best possible answer for this question: Which animal will eat only plants?
 (A) fish
 (B) fish
 (C) slug
 (D) deer
"
95238,What causes food to taste sweet?,crystal sucrose,heat,salt,pepper,A,"what is the best possible answer for this question: What causes food to taste sweet?
 (A) heat
 (B) heat
 (C) salt
 (D) pepper
"
2083,Which of these is an element?,KBr,O_{2},2KCl,FeO_{2},B,"what is the best possible answer for this question: Which of these is an element?
 (A) O_{2}
 (B) O_{2}
 (C) 2KCl
 (D) FeO_{2}
"
98390,An arid sandy place has very little,sustenance,sand,sun,heat,A,"what is the best possible answer for this question: An arid sandy place has very little
 (A) sand
 (B) sand
 (C) sun
 (D) heat
"
94242,A desert environment is,frigid,parched,rainy,tropical,B,"what is the best possible answer for this question: A desert environment is
 (A) parched
 (B) parched
 (C) rainy
 (D) tropical
"
93713,The leaves of a plant benefit from?,dog,sun,human,dust,B,"what is the best possible answer for this question: The leaves of a plant benefit from?
 (A) sun
 (B) sun
 (C) human
 (D) dust
"
98395,A plane travels through what?,gas layers,plains,oceans,time,A,"what is the best possible answer for this question: A plane travels through what?
 (A) plains
 (B) plains
 (C) oceans
 (D) time
"
97742,What rotates on its axis?,oceans,winds,blue world,people,C,"what is the best possible answer for this question: What rotates on its axis?
 (A) winds
 (B) winds
 (C) blue world
 (D) people
"
95804,What would an insect run from?,lizard,insect,cloud,wind,A,"what is the best possible answer for this question: What would an insect run from?
 (A) insect
 (B) insect
 (C) cloud
 (D) wind
"
97542,Which orbits a star?,Neptune,a galaxy,the sun,the moon,A,"what is the best possible answer for this question: Which orbits a star?
 (A) a galaxy
 (B) a galaxy
 (C) the sun
 (D) the moon
"
94336,A big cat looks for prey,at 3pm,at 11pm,at 9am,at noon,B,"what is the best possible answer for this question: A big cat looks for prey
 (A) at 11pm
 (B) at 11pm
 (C) at 9am
 (D) at noon
"
94749,Paleontologists study,Stars,Grass,Old Animal Feces,Cats,C,"what is the best possible answer for this question: Paleontologists study
 (A) Grass
 (B) Grass
 (C) Old Animal Feces
 (D) Cats
"
96384,Decomposer is a kind of role in our,environment,play,home,army,A,"what is the best possible answer for this question: Decomposer is a kind of role in our
 (A) play
 (B) play
 (C) home
 (D) army
"
97176,Grass snakes live in what?,trees,rivers,mountains,turf,D,"what is the best possible answer for this question: Grass snakes live in what?
 (A) rivers
 (B) rivers
 (C) mountains
 (D) turf
"
94715,A paper clip is often made of,cobalt,wood,styrofoam,paper,A,"what is the best possible answer for this question: A paper clip is often made of
 (A) wood
 (B) wood
 (C) styrofoam
 (D) paper
"
95275,What is the source of air?,humans,space,chemistry,nature,D,"what is the best possible answer for this question: What is the source of air?
 (A) space
 (B) space
 (C) chemistry
 (D) nature
"
94339,"If a cat is given cyanide, it will",expire,cough,puke,eat,A,"what is the best possible answer for this question: If a cat is given cyanide, it will
 (A) cough
 (B) cough
 (C) puke
 (D) eat
"
94689,What is a renewable resource?,Plastic,Metal,Concrete,Rain,D,"what is the best possible answer for this question: What is a renewable resource?
 (A) Metal
 (B) Metal
 (C) Concrete
 (D) Rain
"
95464,A cactus stem is used to store what?,mp3s,H2O,sand,seeds,B,"what is the best possible answer for this question: A cactus stem is used to store what?
 (A) H2O
 (B) H2O
 (C) sand
 (D) seeds
"
95436,Peat may be beneficial to,cats,birds,tomatoes,dolphins,C,"what is the best possible answer for this question: Peat may be beneficial to
 (A) birds
 (B) birds
 (C) tomatoes
 (D) dolphins
"
94824,A boy might have brown hair due to,inheritance,luck,magic,fire,A,"what is the best possible answer for this question: A boy might have brown hair due to
 (A) luck
 (B) luck
 (C) magic
 (D) fire
"
94691,the earth's tilt controls the,seasons,tides,sunset,clocks,A,"what is the best possible answer for this question: the earth's tilt controls the
 (A) tides
 (B) tides
 (C) sunset
 (D) clocks
"
95020,What animal is cold-blooded?,cats,dogs,tree hopper,rats,C,"what is the best possible answer for this question: What animal is cold-blooded?
 (A) dogs
 (B) dogs
 (C) tree hopper
 (D) rats
"
2209,What can a flower become?,a fruit,a leaf,a stem,a branch,A,"what is the best possible answer for this question: What can a flower become?
 (A) a leaf
 (B) a leaf
 (C) a stem
 (D) a branch
"
94371,Which would a carnivore eat?,fiddleheads,ramps,dulse,blobfish,D,"what is the best possible answer for this question: Which would a carnivore eat?
 (A) ramps
 (B) ramps
 (C) dulse
 (D) blobfish
"
97720,What is often brackish in an estuary?,water wheels,fish,air,h2o,D,"what is the best possible answer for this question: What is often brackish in an estuary?
 (A) fish
 (B) fish
 (C) air
 (D) h2o
"
96311,Skin can protect your,emotions,anger,feelings,squishy bits,D,"what is the best possible answer for this question: Skin can protect your
 (A) anger
 (B) anger
 (C) feelings
 (D) squishy bits
"
97172,a byproduct of an open flame is,cooking,warmth,cold,light,B,"what is the best possible answer for this question: a byproduct of an open flame is
 (A) warmth
 (B) warmth
 (C) cold
 (D) light
"
96453,Wind energy is,unreal,careless,re-useable,noneffective,C,"what is the best possible answer for this question: Wind energy is
 (A) careless
 (B) careless
 (C) re-useable
 (D) noneffective
"
94555,What does a squirrel not eat?,plants,seeds,fruits,animals,D,"what is the best possible answer for this question: What does a squirrel not eat?
 (A) seeds
 (B) seeds
 (C) fruits
 (D) animals
"
95603,Sunlight is important for,communities,pollution,space,bats,A,"what is the best possible answer for this question: Sunlight is important for
 (A) pollution
 (B) pollution
 (C) space
 (D) bats
"
97569,Ground has,electricity,divorce,elements,common understanding,C,"what is the best possible answer for this question: Ground has
 (A) divorce
 (B) divorce
 (C) elements
 (D) common understanding
"
93018,Which of these resources is renewable?,natural gas,oil,coal,wind,D,"what is the best possible answer for this question: Which of these resources is renewable?
 (A) oil
 (B) oil
 (C) coal
 (D) wind
"
97335,Metal is sometimes what?,wooden,salty,polar opposite,wind,C,"what is the best possible answer for this question: Metal is sometimes what?
 (A) salty
 (B) salty
 (C) polar opposite
 (D) wind
"
97583,Coral get their ____ from algae,vibrance,love,apples,candles,A,"what is the best possible answer for this question: Coral get their ____ from algae
 (A) love
 (B) love
 (C) apples
 (D) candles
"
96707,"If a fuel is a biofuel, it may be",water,corn,sunlight,oil,B,"what is the best possible answer for this question: If a fuel is a biofuel, it may be
 (A) corn
 (B) corn
 (C) sunlight
 (D) oil
"
95428,What causes flooding?,dryness,droughts,sunlight,deluges,D,"what is the best possible answer for this question: What causes flooding?
 (A) droughts
 (B) droughts
 (C) sunlight
 (D) deluges
"
95375,Radiaton can make something,cooler,warmer,heavier,harder,B,"what is the best possible answer for this question: Radiaton can make something
 (A) warmer
 (B) warmer
 (C) heavier
 (D) harder
"
97790,Which animal is warm blooded?,salamander,toad,parakeet,tadpole,C,"what is the best possible answer for this question: Which animal is warm blooded?
 (A) toad
 (B) toad
 (C) parakeet
 (D) tadpole
"
96507,Cake tastes sweet because of,sweet and low,sucrose,flour,honey,B,"what is the best possible answer for this question: Cake tastes sweet because of
 (A) sucrose
 (B) sucrose
 (C) flour
 (D) honey
"
95945,A person may source warmth from,embers,flowers,rain,ice,A,"what is the best possible answer for this question: A person may source warmth from
 (A) flowers
 (B) flowers
 (C) rain
 (D) ice
"
